Term,Definition
actedOnBehalfOf,Delegation
Activity,Activity
activity,""""""
ActivityInfluence,""""""
Agent,Agent
agent,""""""
AgentInfluence,""""""
alternateOf,Alternate
Association,Association
atLocation,Location
atTime,""""""
Attribution,Attribution
Bundle,Bundle
Collection,Collection
Communication,Communication
Delegation,Delegation
Derivation,Derivation
EmptyCollection,EmptyCollection
End,End
endedAtTime,""""""
Entity,Entity
entity,""""""
EntityInfluence,""""""
generated,""""""
generatedAtTime,""""""
Generation,Generation
hadActivity,Activity
hadGeneration,Generation
hadMember,Member
hadPlan,Plan
hadPrimarySource,PrimarySource
hadRole,Role
hadUsage,Usage
Influence,Influence
influenced,""""""
influencer,""""""
InstantaneousEvent,""""""
invalidated,""""""
invalidatedAtTime,""""""
Invalidation,Invalidation
Location,Location
Organization,Organization
Person,Person
Plan,Plan
PrimarySource,PrimarySource
qualifiedAssociation,Association
qualifiedAttribution,Attribution
qualifiedCommunication,Communication
qualifiedDelegation,Delegation
qualifiedDerivation,Derivation
qualifiedEnd,End
qualifiedGeneration,Generation
qualifiedInfluence,Influence
qualifiedInvalidation,Invalidation
qualifiedPrimarySource,PrimarySource
qualifiedQuotation,Quotation
qualifiedRevision,Revision
qualifiedStart,Start
qualifiedUsage,Usage
Quotation,Quotation
Revision,Revision
Role,Role
SoftwareAgent,SofwareAgent
specializationOf,Specialization
Start,Start
startedAtTime,""""""
type,Type
Usage,Usage
used,Usage 
value,Value
wasAssociatedWith,Association
wasAttributedTo,Attribution
wasDerivedFrom,Derivation
wasEndedBy,End
wasGeneratedBy,Generation
wasInfluencedBy,Influence
wasInformedBy,Communication
wasInvalidatedBy,Invalidation
wasQuotedFrom,Quotation
wasRevisionOf,Revision
wasStartedBy,Start
